file	line	literal
RMR_HelpHandbookPanel.cs	64	"玩法概览"
RMR_HelpHandbookPanel.cs	67	"随机事件背景1"
RMR_HelpHandbookPanel.cs	69	"欢迎来到 Roguelike Mod Reborn。在这里，每次接待都将成为一段从都市传闻逐步走向杂质的独立旅程。\n\n"
RMR_HelpHandbookPanel.cs	70	"开始正常游玩后，你会获得初始资源，并在不同类型的路线节点之间作出选择。每次战斗、补给与事件都会改变当前队伍，逐渐形成这一局独有的构筑。\n\n"
RMR_HelpHandbookPanel.cs	71	"击败章节 Boss 可以进入更危险的都市阶段。最终击败杂质章节 Boss，即可完成本次旅程。\n\n"
RMR_HelpHandbookPanel.cs	72	"路线中的金币、库存和章节进度只属于当前旅程；图鉴与楼层解放记录则会永久保留，为之后的游玩提供更多选择。"
RMR_HelpHandbookPanel.cs	80	"路线与章节"
RMR_HelpHandbookPanel.cs	83	"随机事件背景3"
RMR_HelpHandbookPanel.cs	85	"每次完成当前节点后，你都可以从若干候选节点中选择下一站。不同路线会带来不同的战斗强度、奖励与风险。\n\n"
RMR_HelpHandbookPanel.cs	86	"【普通战】\n旅程中最常见的战斗。适合稳定获取书页、被动和金币，并逐步完善队伍。\n\n"
RMR_HelpHandbookPanel.cs	87	"【精英战】\n敌人更强，但奖励通常也更好。队伍尚未成形时，需要谨慎判断是否挑战。\n\n"
RMR_HelpHandbookPanel.cs	88	"【Boss 战】\n击败章节 Boss 后，旅程将进入下一章节，并开放更高等级的敌人、奖励与商品。\n\n"
RMR_HelpHandbookPanel.cs	89	"【异想体战】\n挑战异想体并获得对应书页。第一、第二章不会生成异想体战斗节点，相关位置会由休息节点替代。\n\n"
RMR_HelpHandbookPanel.cs	90	"【商店、休息与神秘事件】\n这些节点提供购买、恢复或特殊选择。合理利用它们，往往比连续战斗更重要。\n\n"
RMR_HelpHandbookPanel.cs	91	"击败杂质章节 Boss 后，本次旅程正式结束。"
RMR_HelpHandbookPanel.cs	98	"战斗与构筑"
RMR_HelpHandbookPanel.cs	101	"异想体战斗"
RMR_HelpHandbookPanel.cs	103	"战斗仍遵循《废墟图书馆》的基本规则。配置核心书页、战斗书页与被动能力，并通过拼点、光芒和情感等级赢得接待。\n\n"
RMR_HelpHandbookPanel.cs	104	"胜利后可能获得核心书页、战斗书页、被动、异想体书页、E.G.O.、金币或特殊奖励。这些内容会进入当前路线库存。\n\n"
RMR_HelpHandbookPanel.cs	105	"战斗书页按照“种类”记录。升级后，强化版本会替换原版本；重复升级会逐渐提高费用。\n\n"
RMR_HelpHandbookPanel.cs	106	"队伍情感等级 1–2 对应 I 阶异想体书页，3–4 对应 II 阶，5 对应 III 阶。只会出现当前路线已经拥有的书页。\n\n"
RMR_HelpHandbookPanel.cs	107	"中途 E.G.O.选择同样只会从当前路线已经拥有的 E.G.O.中产生。未获得的内容不会提前进入本局选择池。"
RMR_HelpHandbookPanel.cs	114	"补给与事件"
RMR_HelpHandbookPanel.cs	117	"随机事件背景2"
RMR_HelpHandbookPanel.cs	119	"【商店】\n使用本次旅程获得的金币购买核心书页、战斗书页、被动、异想体书页、E.G.O.或战斗书页升级。商品受到章节、解放状态和当前库存影响。\n\n"
RMR_HelpHandbookPanel.cs	120	"购买战斗书页代表获得该书页种类。升级会用新版替换旧版，每次成功升级后，后续升级价格都会提高。\n\n"
RMR_HelpHandbookPanel.cs	121	"【休息】\n休息节点用于调整旅程节奏，为后续战斗恢复状态或获得休整机会。\n\n"
RMR_HelpHandbookPanel.cs	122	"【神秘事件】\n不同选择可能带来资源与奖励，也可能要求金币、书页或其他代价。根据当前队伍状态判断风险，也是旅程的重要部分。"
RMR_HelpHandbookPanel.cs	129	"永久图鉴"
RMR_HelpHandbookPanel.cs	132	"随机事件背景2"
RMR_HelpHandbookPanel.cs	134	"旅程中获得的角色书页、战斗书页、异想体书页与 E.G.O.会逐步记录到永久图鉴中。\n\n"
RMR_HelpHandbookPanel.cs	135	"永久图鉴与当前路线库存并不相同。图鉴内容不会在新路线中自动全部加入库存，每次正常游玩仍需要重新收集和构筑。\n\n"
RMR_HelpHandbookPanel.cs	136	"永久图鉴用于记录收藏、扩展后续内容池，并为楼层解放战提供编队资源。尚未解锁的项目会以未知状态显示。\n\n"
RMR_HelpHandbookPanel.cs	137	"“重置永久进度”会清除图鉴与楼层解放记录，请谨慎使用。"
RMR_HelpHandbookPanel.cs	144	"解放战与提示"
RMR_HelpHandbookPanel.cs	147	"异想体战斗"
RMR_HelpHandbookPanel.cs	147	"随机事件背景1"
RMR_HelpHandbookPanel.cs	149	"在开局菜单选择“挑战解放战”，选择目标楼层并使用永久图鉴配置临时队伍。\n\n"
RMR_HelpHandbookPanel.cs	150	"解放战会直接进入所选楼层的最终多阶段战斗，不需要重复前置异想体镇压。不同楼层可能拥有不同的书页章节限制。\n\n"
RMR_HelpHandbookPanel.cs	151	"首次通关会永久解锁该层专属异想体书页与 E.G.O.。已经通关的楼层可以再战，但不会重复发放首通奖励。\n\n"
RMR_HelpHandbookPanel.cs	152	"解放战临时编队不会覆盖正常路线配置。选择“正常游玩”后，本次路线期间会关闭解放入口；放弃路线并重新开始后可再次挑战。\n\n"
RMR_HelpHandbookPanel.cs	153	"可以直接开始正常路线，也可以先解放部分楼层扩充永久资源。根据每次获得的内容调整策略，正是本模组的核心玩法。"
RMR_HelpHandbookPanel.cs	261	"玩法介绍"
RMR_HelpHandbookPanel.cs	418	"关闭"
abcdcode_LOGLIKE_MOD\DiceCardSelfAbility_Stigma8_0.cs	12	"[장착 시 발동] 대상에게 화상 5 부여"
abcdcode_LOGLIKE_MOD\DiceCardSelfAbility_jax_0.cs	12	"[장착 시 발동] 최대 체력의 10% 만큼 피해를 입고 이번막에 힘을 2 얻음"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	93	"显示升级版"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	93	"강화판 표시"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	298	"图鉴数据加载失败，请查看日志。"
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	298	"도감 데이터를 불러오지 못했습니다. 로그를 확인하세요."
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	998	"名称: "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	998	"이름: "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1000	"速度: "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1000	"속도: "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1001	"速度骰子: "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1001	"속도 주사위: "
abcdcode_LOGLIKE_MOD\LogCompendiumPanel.cs	1002	"耐性: 斩"
