id,cn,en,kr
"BattleEnd_CardReward","选择战斗书页奖励","Select Combat Page Reward","전투 책장 보상 선택"
"BattleEnd_EgoReward","选择 E.G.O. 战斗书页","Select an E.G.O. page","E.G.O. 책장 선택"
"BattleEnd_NextStage","请选择下一场接待","Select Next Reception","다음 접대 선택"
"BattleEnd_PassiveReward","选择被动能力奖励","Select Passive Reward","패시브 보상 선택"
"CardCheckPopUp_CannotUpgrade","暂无可升级的战斗书页。","No upgradeable combat pages.","강화할 수 있는 전투 책장이 없습니다."
"CardCheckPopUp_Close","返回","Return","돌아가기"
"CardCheckPopUp_InvenDesc","拥有的战斗书页","Owned Combat Pages","보유한 전투 책장"
"CardCheckPopUp_RewardDesc","获取战斗书页","Acquired Combat Pages","획득한 전투 책장"
"CardCheckPopUp_UpgradeNo","取消","Cancel","취소"
"CardCheckPopUp_UpgradeOk","确认","Confirm","확인"
"CardChoicePopUp_ChooseDesc","选择战斗书页","Select Combat Page","전투 책장 선택"
"CardChoicePopUp_RemoveDesc","选择要移除的战斗书页","Select Combat Page to remove","제거할 전투 책장 선택"
"CardChoicePopUp_RewardDesc","选择要获得的战斗书页","Select Combat Page to obtain","획득할 전투 책장 선택"
"CardChoicePopUp_TransformDesc","选择要更改的战斗书页","Select Combat Page to change","변경할 전투 책장 선택"
"CardChoicePopUp_UpgradeDesc","选择要升级的战斗书页","Select Combat Page to upgrade","강화할 전투 책장 선택"
"Equip_Hit","打击伤害抗性","Blunt Damage Resistance","타격 피해 내성"
"Equip_Light","初始光芒","Starting Light","시작 빛"
"Equip_Passive","被动能力","Passive","패시브"
"Equip_Penetrate","突刺伤害抗性","Pierce Damage Resistance","관통 피해 내성"
"Equip_Slash","斩击伤害抗性","Slash Damage Resistance","참격 피해 내성"
"Equip_SpeedArea","速度范围","Speed Range","속도 범위"
"LogueLike_PlayerName","玩家","Player","플레이어"
"Mystery_RequireCondition","[已锁定] ","[Locked] ","[잠김] "
"Shop_CardUpgrade_Desc","卡牌升级","Card Upgrade","카드 강화"
"Shop_CardUpgrade_Name","卡牌升级","Card Upgrade","카드 강화"
"Shop_EquipPrevious","[被动能力 (费用: {0})] ","[Passive (Cost: {0})] ","[패시브 (비용: {0})] "
"Stage_Boss","Boss战斗","Boss Battle","보스 전투"
"Stage_Boss_Desc","接待一位超强的来宾。接待后继续下一章。","Host a powerful guest. After this reception, continue to the next chapter.","매우 강한 손님을 접대합니다. 접대 후 다음 챕터로 진행합니다."
"Stage_Creature","异想体战斗","Abnormality Battle","환상체 전투"
"Stage_Creature_Desc","挑战异想体战斗。战斗后获得异想体书页奖励。","Fight an abnormality. Gain abnormality page rewards after battle.","환상체와 전투합니다. 전투 후 환상체 책장 보상을 얻습니다."
"Stage_Elite","精英战斗","Elite Battle","정예 전투"
"Stage_Elite_Desc","接待一位强力来宾。战斗后获得1个被动能力。","Host a strong guest. Gain 1 passive after battle.","강한 손님을 접대합니다. 전투 후 패시브 1개를 얻습니다."
"Stage_Mystery","随机事件","Random Event","무작위 이벤트"
"Stage_Mystery_Desc","有什么事情发生了......","Something is about to happen...","무슨 일이 일어날지 알 수 없습니다..."
"Stage_Normal","普通战斗","Normal Battle","일반 전투"
"Stage_Normal_Desc","接待一位普通来宾","Host an ordinary guest.","일반적인 손님을 접대합니다."
"Stage_Rest","休息室","Resting Room","서고"
"Stage_Rest_Desc","可以让你恢复精力的休息空间。您可以恢复司书的生命值或升级战斗书页。","A resting space to recover. Restore librarians' HP or upgrade combat pages.","휴식을 취하는 공간입니다. 사서 체력을 회복하거나 전투 책장을 강화할 수 있습니다."
"Stage_Shop","商店","Shop","상점"
"Stage_Shop_Desc","用你的积蓄购买有用的物品。","Spend your savings on useful items.","저축한 화폐로 유용한 물품을 구매합니다."
"ui_AtlasTab","图鉴","Compendium","도감"
"ui_CraftCost","费用","Cost","비용"
"ui_CraftTab","技能","Craft","연성"
"ui_CreatureTab","异想体","Abnormality","환상체"
"ui_EmotionPositionChange","改变位置","Change Position","위치 변경"
